-== Watchman Report ==- 

-== Missing 1 service(s) from 50 found in your config:
+--------------------------------+---------+--------------------------------------------------------------+
| Service ID                     | State   | Location                                                     |
+--------------------------------+---------+--------------------------------------------------------------+
| script.yandex_station_tts      | missing | packages/cover.yaml:18,28,96                                 |
+--------------------------------+---------+--------------------------------------------------------------+

-== Missing 113 entity(ies) from 388 found in your config:
+--------------------------------+---------+--------------------------------------------------------------+
| Entity ID                      | State   | Location                                                     |
+--------------------------------+---------+--------------------------------------------------------------+
| fan.mode                       | missing | configuration.yaml:503                                       |
| group.family_bithday           | unknown | groups.yaml:8                                                |
| ('family_bithday')             |         |                                                              |
| group.kitchen_sensors_card     | unknown | groups.yaml:11                                               |
| ('Kitchen Sensors')            |         |                                                              |
| group.zwave_nanodimmer_card    | missing | groups.yaml:12                                               |
| group.zwave_multisensor_card   | missing | groups.yaml:13                                               |
| group.sonoff_bathroom_mirror_c | unknown | groups.yaml:15                                               |
| ard ('Зеркало')                |         |                                                              |
| group.DarkSky ('Погода')       | unknown | groups.yaml:40                                               |
| group.weblink_sources          | unknown | groups.yaml:53                                               |
| ('Полезные ссылки')            |         |                                                              |
| group.strava ('Последняя       | unknown | groups.yaml:72                                               |
| поездка в Strava')             |         |                                                              |
| camera.iphone_locations        | missing | groups.yaml:87                                               |
| camera.adhtc_location          | missing | groups.yaml:88                                               |
| sensor.co2_sensor ('Углекислый | unknown | groups.yaml:170                                              |
| газ')                          |         |                                                              |
| sensor.mqtt_temp_sensor        | unavail | groups.yaml:175                                              |
| ('Темп.MQTT')                  |         |                                                              |
| binary_sensor.bathroom_motion_ | unknown | groups.yaml:180                                              |
| sensor ('Bathroom motion       |         |                                                              |
| sensor')                       |         |                                                              |
| sensor.last_motion_bathroom_se | unknown | groups.yaml:181                                              |
| nsor ('Ванная-последнее        |         |                                                              |
| движение')                     |         |                                                              |
| sensor.cert_expiry_timestamp_h | unknown | groups.yaml:196                                              |
| ellad_myds_me ('Cert Expiry    |         |                                                              |
| Timestamp (hellad.myds.me)')   |         |                                                              |
| group.family_members ('Члены   | unknown | groups.yaml:197                                              |
| семьи')                        |         |                                                              |
| device_tracker.andrey          | missing | groups.yaml:207,271                                          |
| device_tracker.irina           | missing | groups.yaml:208,272                                          |
| device_tracker.pavel           | missing | groups.yaml:209,273                                          |
| device_tracker.prohor          | missing | groups.yaml:210,274                                          |
| device_tracker.router          | missing | groups.yaml:211                                              |
| device_tracker.ScopioPC1       | missing | groups.yaml:212                                              |
| device_tracker.sonos_one       | missing | groups.yaml:213                                              |
| device_tracker.PowerNode2i     | missing | groups.yaml:214                                              |
| device_tracker.Ya_Station      | missing | groups.yaml:215                                              |
| device_tracker.ya_module       | missing | groups.yaml:216                                              |
| device_tracker.Dune_101W       | missing | groups.yaml:217                                              |
| device_tracker.Gigaset_phone   | missing | groups.yaml:218                                              |
| device_tracker.LG_TV65_WiFi    | missing | groups.yaml:219                                              |
| device_tracker.Denon_AVC_X3700 | missing | groups.yaml:220                                              |
| H                              |         |                                                              |
| sensor.alarm_time              | unavail | groups.yaml:233                                              |
| ('AlarmClockSensor')           |         |                                                              |
| media_player.yandex_module     | unavail | groups.yaml:258                                              |
| ('Яндекс модуль')              |         |                                                              |
| sensor.strava_last_date ('Дата | unavail | groups.yaml:301                                              |
| и время')                      |         |                                                              |
| sensor.strava_last_name ('Имя  | unknown | groups.yaml:302                                              |
| последней поездки')            |         |                                                              |
| sensor.strava_last_moving_time | unavail | groups.yaml:303                                              |
| ('Время движения')             |         |                                                              |
| sensor.strava_last_total_time  | unavail | groups.yaml:304                                              |
| ('Общее время')                |         |                                                              |
| sensor.strava_last_distance    | unavail | groups.yaml:305                                              |
| ('Дистанция')                  |         |                                                              |
| sensor.strava_last_elevation   | unavail | groups.yaml:306                                              |
| ('Суммарный подъём')           |         |                                                              |
| sensor.strava_last_average_spe | unavail | groups.yaml:307                                              |
| ed ('Средняя скорость')        |         |                                                              |
| sensor.strava_last_max_speed   | unavail | groups.yaml:308                                              |
| ('Максимальная скорость')      |         |                                                              |
| sensor.strava_last_average_hea | unknown | groups.yaml:309                                              |
